City,date,humidity,temp,wind_speed,wind_direc,pressure,min_temp,max_temp,heat_wave,event,event_flag,Country,Latitude,Longitude,Product,Demand
Boston,1/2/2013,52.47826087,273.6325,4.083333333,254.1666667,1008.375,270.88,275.07,0,,0,United States,42.358429,-71.059769,SKU-1,4873
Boston,1/3/2013,56.83333333,267.361875,3.625,295.4583333,1013.083333,264.27,271.06,0,,0,United States,42.358429,-71.059769,SKU-1,3425
Boston,1/4/2013,46.04166667,263.1020833,2.333333333,265,1018.916667,257.93,268.13,0,,0,United States,42.358429,-71.059769,SKU-1,3421
Boston,1/5/2013,67.20833333,270.0074479,2.708333333,183.625,1014.958333,264.1,275.84,0,,0,United States,42.358429,-71.059769,SKU-1,4922
Boston,1/6/2013,56.14285714,274.1495833,2.583333333,239.5416667,1019.041667,271.96,277.79,0,,0,United States,42.358429,-71.059769,SKU-1,5388
Boston,1/7/2013,75.43478261,272.0175,1.083333333,94.16666667,1019.625,267.04,278.64,0,,0,United States,42.358429,-71.059769,SKU-1,3193
Boston,1/8/2013,76.625,273.3705278,1.25,123.0833333,1020.416667,270.3,277.326,0,,0,United States,42.358429,-71.059769,SKU-1,3049
Boston,1/9/2013,69.33333333,273.3708333,2.333333333,130.8333333,1027.25,267.6,280.55,0,,0,United States,42.358429,-71.059769,SKU-1,2976
Boston,1/10/2013,77.86956522,276.5077104,4.25,210.0833333,1029.045455,271.44,278.9816667,0,,0,United States,42.358429,-71.059769,SKU-1,2615
Boston,1/11/2013,53.08695652,279.1924306,4.833333333,192.5,1025.5,276.96,281.73,0,,0,United States,42.358429,-71.059769,SKU-1,2879
Boston,1/12/2013,78.79166667,273.8352083,0.5,31.29166667,1031.25,269.09,277.802,0,,0,United States,42.358429,-71.059769,SKU-1,4250
Boston,1/13/2013,92.70833333,277.064375,0.25,35.45833333,1022.375,275.56,280.985,0,,0,United States,42.358429,-71.059769,SKU-1,4700
Boston,1/14/2013,92.66666667,279.7482708,1.291666667,92.83333333,1020.291667,277.57,282.94,0,,0,United States,42.358429,-71.059769,SKU-1,2767
Boston,1/15/2013,80.86956522,284.68625,2.583333333,193.6666667,1017.75,281.58,288.48,0,,0,United States,42.358429,-71.059769,SKU-1,2960
Boston,1/16/2013,55.5,277.1941667,1.5,233.3333333,1024.166667,274,280.52,0,,0,United States,42.358429,-71.059769,SKU-1,3022
Boston,1/17/2013,76.82352941,273.7882917,0.5,105.4583333,1015.409091,272.28,276.66,0,,0,United States,42.358429,-71.059769,SKU-1,2794
Boston,1/18/2013,85.55555556,274.56625,3.083333333,126.6666667,1012.916667,272.01,278.35,0,,0,United States,42.358429,-71.059769,SKU-1,2894
Boston,1/19/2013,35.43478261,269.0258333,3.666666667,302.0833333,1023.125,265.11,274.67,0,,0,United States,42.358429,-71.059769,SKU-1,4360
Boston,1/20/2013,61.29166667,272.3064583,3.833333333,165.0416667,1026.541667,265.23,279.41,0,,0,United States,42.358429,-71.059769,SKU-1,4684
Boston,1/21/2013,63.08333333,279.5660417,4.666666667,230.8333333,1013,276.53,284.88,0,,0,United States,42.358429,-71.059769,SKU-1,3172
Boston,1/22/2013,45.66666667,269.75375,3.375,276.2916667,1017.416667,266.97,274.925,0,,0,United States,42.358429,-71.059769,SKU-1,2773
Boston,1/23/2013,61.95833333,267.7095833,4.208333333,221.5416667,1012.25,265.18,269.21,0,,0,United States,42.358429,-71.059769,SKU-1,2888
Boston,1/24/2013,42.54166667,261.9333333,4.666666667,281.0416667,1019,259.94,264.4,0,,0,United States,42.358429,-71.059769,SKU-1,2611
Boston,1/25/2013,36.45833333,260.5608333,4.166666667,289.6666667,1019.375,256.82,265.75,0,,0,United States,42.358429,-71.059769,SKU-1,3097
Boston,1/26/2013,41.375,263.3874167,4.583333333,293.25,1025.333333,259.73,267.81,0,,0,United States,42.358429,-71.059769,SKU-1,4352
Boston,1/27/2013,68.625,265.4053194,4.333333333,242.625,1022.5,261.48,268.75,0,,0,United States,42.358429,-71.059769,SKU-1,4482
Boston,1/28/2013,44.79166667,266.2040278,3.625,297.625,1027.666667,262.27,271.9425,0,,0,United States,42.358429,-71.059769,SKU-1,2784
Boston,1/29/2013,94,273.3644549,1.541666667,84.79166667,1032.708333,265.54,276.822,0,,0,United States,42.358429,-71.059769,SKU-1,2710
Boston,1/30/2013,88.7826087,272.9649375,1.5,172.6666667,1023.833333,269.73,277,0,,0,United States,42.358429,-71.059769,SKU-1,2992
Boston,1/31/2013,95.9,276.5770625,2.291666667,78.54166667,1015.541667,273.59,283.25,0,,0,United States,42.358429,-71.059769,SKU-1,3029
Boston,2/1/2013,78,278.8283333,7.5,244.125,1005.166667,272.76,284.99,0,,0,United States,42.358429,-71.059769,SKU-1,3508
Boston,2/2/2013,38.70588235,272.2775,6.125,270.4166667,1007.041667,270.55,274.98,0,,0,United States,42.358429,-71.059769,SKU-1,4889
Boston,2/3/2013,40.94736842,268.7375,2.916666667,249.5833333,1025.208333,266.01,271.6,0,,0,United States,42.358429,-71.059769,SKU-1,4782
Boston,2/4/2013,70.875,269.2870833,1.833333333,217.0833333,1014.208333,266.92,270.47,0,,0,United States,42.358429,-71.059769,SKU-1,3370
Boston,2/5/2013,62.90909091,269.053125,3.916666667,245.2083333,1008.625,266.47,271.29,0,,0,United States,42.358429,-71.059769,SKU-1,3468
Boston,2/6/2013,54.08333333,268.5460417,1.25,109.5833333,1014.791667,266.71,270.7,0,,0,United States,42.358429,-71.059769,SKU-1,3200
Boston,2/7/2013,76.95833333,271.4304167,1.833333333,136.0416667,1015.25,269.08,275.33,0,,0,United States,42.358429,-71.059769,SKU-1,3175
Boston,2/8/2013,35.43478261,268.9508333,2.708333333,236.8333333,1028.958333,265.38,272.77,0,,0,United States,42.358429,-71.059769,SKU-1,3443
Boston,2/9/2013,61.93333333,270.836875,3.166666667,62.08333333,1025.291667,268.95,272.56,0,,0,United States,42.358429,-71.059769,SKU-1,4226
Boston,2/10/2013,81.13636364,266.5895833,6.916666667,292.5,1006.333333,265.15,270.64,0,,0,United States,42.358429,-71.059769,SKU-1,3447
Boston,2/11/2013,52.70833333,267.023125,3.708333333,251.25,1028.75,258.45,274.56,0,,0,United States,42.358429,-71.059769,SKU-1,3566
Boston,2/12/2013,68.45833333,270.6341597,2.916666667,133.125,1019.416667,266.04,275.12,0,,0,United States,42.358429,-71.059769,SKU-1,3832
Boston,2/13/2013,80.95833333,275.2378333,4.833333333,207.2083333,1006.75,274.19,276.9,0,,0,United States,42.358429,-71.059769,SKU-1,3291
Boston,2/14/2013,75.83333333,274.734375,1.958333333,131.6666667,1009,270.28,278.78,0,,0,United States,42.358429,-71.059769,SKU-1,3972
Boston,2/15/2013,73.76190476,274.824375,1.541666667,148.9583333,1011.083333,272.1,279.34,0,,0,United States,42.358429,-71.059769,SKU-1,3309
Boston,2/16/2013,78.34782609,275.858125,0.833333333,52.91666667,1017.666667,270.7,282.91,0,,0,United States,42.358429,-71.059769,SKU-1,4740
Boston,2/17/2013,87,274.6320833,2.291666667,153.3333333,1012.333333,272.83,277.53,0,,0,United States,42.358429,-71.059769,SKU-1,3944
Boston,2/18/2013,76.72727273,269.15875,7.416666667,325.8333333,1002.791667,265.69,274.77,0,,0,United States,42.358429,-71.059769,SKU-1,3217
Boston,2/19/2013,38.85714286,267.25875,7,284.375,1013.625,263.25,272.2,0,,0,United States,42.358429,-71.059769,SKU-1,2710
Boston,2/20/2013,52.91666667,273.2987847,2.833333333,195.0833333,1018.083333,267.83,281.07,0,,0,United States,42.358429,-71.059769,SKU-1,3036
Boston,2/21/2013,65.63636364,275.0466389,4.25,237.4166667,1007.125,271.32,278.65,0,,0,United States,42.358429,-71.059769,SKU-1,2808
Boston,2/22/2013,54.22727273,270.6416667,5.041666667,238.125,1010.5,268.69,273.01,0,,0,United States,42.358429,-71.059769,SKU-1,2946
Boston,2/23/2013,67.20833333,272.0429167,2.666666667,151.2916667,1024.208333,268.4,276.92,0,,0,United States,42.358429,-71.059769,SKU-1,4119
Boston,2/24/2013,77.04545455,273.9229167,1.166666667,55,1023.916667,271.94,276.33,0,,0,United States,42.358429,-71.059769,SKU-1,4488
Boston,2/25/2013,96.95238095,274.6724514,2.875,169.625,1010,273.39,276.18,0,,0,United States,42.358429,-71.059769,SKU-1,2848
Boston,2/26/2013,75.45,274.006375,3.291666667,129.3333333,1018.458333,271.49,277.2,0,,0,United States,42.358429,-71.059769,SKU-1,2639
Boston,2/27/2013,71.85,274.7270833,1.708333333,35,1025.041667,270.49,278.51,0,,0,United States,42.358429,-71.059769,SKU-1,2853
Boston,2/28/2013,87.45833333,276.451225,3.208333333,96.125,1014.583333,274.65,277.9284,0,,0,United States,42.358429,-71.059769,SKU-1,2895
Boston,3/1/2013,88.61904762,276.7904167,2.208333333,187.0833333,1003.541667,274.04,280.67,0,,0,United States,42.358429,-71.059769,SKU-1,3391
Boston,3/2/2013,60.46666667,276.1952083,3.041666667,272.0833333,1008.708333,274.21,277.92,0,,0,United States,42.358429,-71.059769,SKU-1,4895
Boston,3/3/2013,59.08333333,276.20625,1.833333333,161.6666667,1010.333333,272.79,278.66,0,,0,United States,42.358429,-71.059769,SKU-1,5082
Boston,3/4/2013,56.5,275.4277083,3.416666667,324.7916667,1011,273.25,277.85,0,,0,United States,42.358429,-71.059769,SKU-1,3286
Boston,3/5/2013,53.23809524,274.5472917,3.166666667,210.2083333,1014.166667,271.93,276.88,0,,0,United States,42.358429,-71.059769,SKU-1,2941
Boston,3/6/2013,61.25,275.2766917,3.125,152.3333333,1019.291667,272.77,279.47,0,,0,United States,42.358429,-71.059769,SKU-1,3070
Boston,3/7/2013,89.55,275.62125,5.875,100.8333333,1012.875,274.13,276.69,0,,0,United States,42.358429,-71.059769,SKU-1,3038
Boston,3/8/2013,82,274.0162083,7.5,208.9583333,1013.083333,272.72,275.2685,0,,0,United States,42.358429,-71.059769,SKU-1,3438
Boston,3/9/2013,87.86363636,273.3156667,5.333333333,165.7083333,1018.25,271.89,276.25,0,,0,United States,42.358429,-71.059769,SKU-1,4402
Boston,3/10/2013,56.59090909,275.9682986,3.291666667,112.4166667,1025.375,272.37,279.55,0,,0,United States,42.358429,-71.059769,SKU-1,4653
Boston,3/11/2013,78.52380952,274.4600455,1.166666667,54,1030.083333,269.62,279.326,0,,0,United States,42.358429,-71.059769,SKU-1,3054
Boston,3/12/2013,77.86956522,278.0589861,2.416666667,158.0416667,1027.875,274.7,283.84,0,,0,United States,42.358429,-71.059769,SKU-1,2714
